Count,Serial(ms),SerialWithRandom(ms),UUIDv4(ms),UUIDv7(ms)
1000000,4847,10226,6102,5646
2000000,4898,11155,6278,5763
3000000,4825,11769,6799,5733
4000000,4837,14097,7766,5795
5000000,5191,14990,9121,6030
6000000,4847,15135,10437,5874
7000000,5065,16182,10454,5873
8000000,5182,17171,11610,5839
9000000,5251,17745,12366,6240
10000000,5305,48537,12190,6678
11000000,4957,19826,13229,6254
12000000,4896,20718,12515,6775
13000000,4896,21616,14068,5901
14000000,4835,23579,15875,6485
15000000,4881,25020,14690,6237
16000000,4991,25244,15037,6358
17000000,4881,27073,15557,6079
18000000,4979,28878,18250,6325
19000000,4908,28637,18948,5854
20000000,5460,30140,21036,5977
21000000,4899,32124,22085,5886
22000000,5746,32313,22086,5819
23000000,4903,34384,23332,5699
24000000,4896,35268,25457,5802
25000000,5021,36750,28617,7017
26000000,5005,43088,29218,7114
27000000,5229,39351,31150,6009
28000000,5059,39419,33691,6001
29000000,4913,48738,31183,6093
30000000,5363,42932,30133,6932
