Count,serial,serial_with_random,uuidv4,uuidv4_with_created_at,uuidv7,snowflake
1000000,2114,3924,2094,3105,1419,1219
2000000,2113,4689,2617,3726,1356,1531
3000000,2214,4756,3224,3794,1559,1585
4000000,2227,5722,3039,4504,1498,1892
5000000,2207,7465,4198,4518,1580,1716
6000000,2258,7167,3826,4622,1486,1851
7000000,2469,8176,4468,6058,1595,1874
8000000,2263,9644,5438,7040,1815,1917
9000000,2373,11160,6244,8215,1876,1962
10000000,2282,13114,7148,8149,1818,1829
11000000,2645,13060,7396,11301,1643,1979
12000000,2354,15249,7556,9238,1859,1953
13000000,2629,14669,8232,9546,1776,2327
14000000,2536,17527,10816,10887,1954,2150
15000000,2417,18795,10068,11198,2047,2390
16000000,2392,23172,12911,15457,1788,2169
17000000,2387,26077,19864,18165,2209,2125
18000000,2463,30366,16914,17029,1915,2335
19000000,2329,33478,19156,19108,1662,2297
20000000,2702,30331,19320,24708,1652,2545
21000000,2598,29283,18168,22597,1667,2120
22000000,2311,34985,28422,29991,1791,3014
23000000,2377,36465,29742,29196,2532,2086
24000000,2281,33539,26871,32789,2143,2194
25000000,2414,42828,34464,33121,2157,2266
26000000,2317,39589,25003,28141,1920,2508
27000000,2647,39131,30694,36678,2003,3271
28000000,2517,49675,35902,38305,2112,3210
29000000,2366,39788,29183,29924,2630,2298
30000000,2516,42400,28350,41277,2435,2138
